2025-09-12 10:14:42,002 - =====================Start Training=====================
2025-09-12 10:14:42,003 - config: mocolsk_v0_10x
2025-09-12 10:14:42,003 - description: mocolsk | 10x | ch=32
2025-09-12 10:20:32,890 - Epoch 1: train_loss = 0.00021000, rmse_val = 1.0561 K
2025-09-12 10:25:37,972 - Epoch 2: train_loss = 0.00012070, rmse_val = 0.9513 K
2025-09-12 10:30:41,909 - Epoch 3: train_loss = 0.00010750, rmse_val = 0.9141 K
2025-09-12 10:35:49,149 - Epoch 4: train_loss = 0.00010055, rmse_val = 0.8838 K
2025-09-12 10:40:57,986 - Epoch 5: train_loss = 0.00009516, rmse_val = 0.8843 K
2025-09-12 10:46:05,373 - Epoch 6: train_loss = 0.00009171, rmse_val = 0.8546 K
2025-09-12 10:51:15,287 - Epoch 7: train_loss = 0.00008755, rmse_val = 0.8354 K
2025-09-12 10:56:24,611 - Epoch 8: train_loss = 0.00008346, rmse_val = 0.8091 K
2025-09-12 11:01:34,160 - Epoch 9: train_loss = 0.00008059, rmse_val = 0.8093 K
2025-09-12 11:06:41,357 - Epoch 10: train_loss = 0.00007882, rmse_val = 0.8009 K
2025-09-12 11:11:55,537 - Epoch 11: train_loss = 0.00007767, rmse_val = 0.7962 K
2025-09-12 11:17:10,023 - Epoch 12: train_loss = 0.00007656, rmse_val = 0.7896 K
2025-09-12 11:22:16,416 - Epoch 13: train_loss = 0.00007556, rmse_val = 0.7811 K
2025-09-12 11:27:22,082 - Epoch 14: train_loss = 0.00007458, rmse_val = 0.7724 K
2025-09-12 11:32:28,610 - Epoch 15: train_loss = 0.00007378, rmse_val = 0.7777 K
2025-09-12 11:37:34,635 - Epoch 16: train_loss = 0.00007283, rmse_val = 0.7724 K
2025-09-12 11:42:39,955 - Epoch 17: train_loss = 0.00007206, rmse_val = 0.7670 K
2025-09-12 11:47:44,603 - Epoch 18: train_loss = 0.00007118, rmse_val = 0.7577 K
2025-09-12 11:52:49,826 - Epoch 19: train_loss = 0.00007061, rmse_val = 0.7558 K
2025-09-12 11:57:56,514 - Epoch 20: train_loss = 0.00007014, rmse_val = 0.7531 K
2025-09-12 12:03:03,299 - Epoch 21: train_loss = 0.00006951, rmse_val = 0.7555 K
2025-09-12 12:08:09,623 - Epoch 22: train_loss = 0.00006897, rmse_val = 0.7516 K
2025-09-12 12:13:14,818 - Epoch 23: train_loss = 0.00006844, rmse_val = 0.7511 K
2025-09-12 12:18:19,269 - Epoch 24: train_loss = 0.00006787, rmse_val = 0.7462 K
2025-09-12 12:23:24,535 - Epoch 25: train_loss = 0.00006738, rmse_val = 0.7508 K
2025-09-12 12:28:32,747 - Epoch 26: train_loss = 0.00006702, rmse_val = 0.7432 K
2025-09-12 12:33:37,203 - Epoch 27: train_loss = 0.00006665, rmse_val = 0.7416 K
2025-09-12 12:38:35,863 - Epoch 28: train_loss = 0.00006620, rmse_val = 0.7401 K
2025-09-12 12:43:41,213 - Epoch 29: train_loss = 0.00006597, rmse_val = 0.7363 K
2025-09-12 12:48:45,562 - Epoch 30: train_loss = 0.00006555, rmse_val = 0.7455 K
2025-09-12 12:53:48,580 - Epoch 31: train_loss = 0.00006545, rmse_val = 0.7343 K
2025-09-12 12:58:52,916 - Epoch 32: train_loss = 0.00006476, rmse_val = 0.7278 K
2025-09-12 13:03:57,972 - Epoch 33: train_loss = 0.00006441, rmse_val = 0.7295 K
2025-09-12 13:09:01,421 - Epoch 34: train_loss = 0.00006411, rmse_val = 0.7389 K
2025-09-12 13:14:05,017 - Epoch 35: train_loss = 0.00006381, rmse_val = 0.7315 K
2025-09-12 13:19:09,818 - Epoch 36: train_loss = 0.00006361, rmse_val = 0.7274 K
2025-09-12 13:24:14,989 - Epoch 37: train_loss = 0.00006298, rmse_val = 0.7227 K
2025-09-12 13:29:22,222 - Epoch 38: train_loss = 0.00006275, rmse_val = 0.7203 K
2025-09-12 13:34:27,581 - Epoch 39: train_loss = 0.00006255, rmse_val = 0.7171 K
2025-09-12 13:39:33,349 - Epoch 40: train_loss = 0.00006212, rmse_val = 0.7170 K
2025-09-12 13:44:39,991 - Epoch 41: train_loss = 0.00006180, rmse_val = 0.7192 K
2025-09-12 13:49:46,075 - Epoch 42: train_loss = 0.00006150, rmse_val = 0.7146 K
2025-09-12 13:54:54,527 - Epoch 43: train_loss = 0.00006113, rmse_val = 0.7110 K
2025-09-12 14:00:00,923 - Epoch 44: train_loss = 0.00006083, rmse_val = 0.7133 K
2025-09-12 14:05:08,334 - Epoch 45: train_loss = 0.00006067, rmse_val = 0.7134 K
2025-09-12 14:10:15,932 - Epoch 46: train_loss = 0.00006026, rmse_val = 0.7129 K
2025-09-12 14:15:23,075 - Epoch 47: train_loss = 0.00006012, rmse_val = 0.7101 K
2025-09-12 14:20:43,784 - Epoch 48: train_loss = 0.00005984, rmse_val = 0.7073 K
2025-09-12 14:25:51,362 - Epoch 49: train_loss = 0.00005947, rmse_val = 0.7100 K
2025-09-12 14:30:58,334 - Epoch 50: train_loss = 0.00005929, rmse_val = 0.7081 K
2025-09-12 14:36:04,494 - Epoch 51: train_loss = 0.00005912, rmse_val = 0.7071 K
2025-09-12 14:41:12,578 - Epoch 52: train_loss = 0.00005880, rmse_val = 0.7045 K
2025-09-12 14:46:22,062 - Epoch 53: train_loss = 0.00005860, rmse_val = 0.7053 K
2025-09-12 14:51:30,666 - Epoch 54: train_loss = 0.00005842, rmse_val = 0.7006 K
2025-09-12 14:56:55,731 - Epoch 55: train_loss = 0.00005834, rmse_val = 0.7054 K
2025-09-12 15:02:24,041 - Epoch 56: train_loss = 0.00005797, rmse_val = 0.6998 K
2025-09-12 15:07:52,695 - Epoch 57: train_loss = 0.00005782, rmse_val = 0.7000 K
2025-09-12 15:13:14,515 - Epoch 58: train_loss = 0.00005760, rmse_val = 0.7020 K
2025-09-12 15:18:20,525 - Epoch 59: train_loss = 0.00005750, rmse_val = 0.7028 K
2025-09-12 15:23:24,944 - Epoch 60: train_loss = 0.00005712, rmse_val = 0.7002 K
2025-09-12 15:28:31,015 - Epoch 61: train_loss = 0.00005699, rmse_val = 0.6956 K
2025-09-12 15:33:37,251 - Epoch 62: train_loss = 0.00005673, rmse_val = 0.6982 K
2025-09-12 15:38:44,584 - Epoch 63: train_loss = 0.00005674, rmse_val = 0.6983 K
2025-09-12 15:43:51,635 - Epoch 64: train_loss = 0.00005629, rmse_val = 0.6957 K
2025-09-12 15:49:00,254 - Epoch 65: train_loss = 0.00005648, rmse_val = 0.6959 K
