2025-10-15 16:05:14,657 - =====================Start Training=====================
2025-10-15 16:05:14,657 - config: resshift_10x_ch8
2025-10-15 16:05:14,657 - description: ch_base = 8
2025-10-15 16:05:14,658 - Epoch, Loss_train, Loss_val (K)
2025-10-15 16:07:51,441 - 1, 0.00248072, 3.7841
2025-10-15 16:09:52,349 - 2, 0.00019435, 2.8386
2025-10-15 16:11:53,478 - 3, 0.00014441, 2.4873
2025-10-15 16:13:54,576 - 4, 0.00012741, 2.3094
2025-10-15 16:15:55,438 - 5, 0.00011809, 2.1545
2025-10-15 16:17:56,946 - 6, 0.00011043, 2.1206
2025-10-15 16:19:58,170 - 7, 0.00010558, 1.9270
2025-10-15 16:21:58,819 - 8, 0.00010017, 1.8100
2025-10-15 16:23:59,996 - 9, 0.00009212, 1.5960
2025-10-15 16:26:01,539 - 10, 0.00008603, 1.5775
2025-10-15 16:28:02,175 - 11, 0.00007918, 1.4000
2025-10-15 16:30:04,503 - 12, 0.00007438, 1.3778
2025-10-15 16:32:04,659 - 13, 0.00006973, 1.3137
2025-10-15 16:34:05,828 - 14, 0.00006681, 1.2926
2025-10-15 16:36:05,864 - 15, 0.00006420, 1.2012
2025-10-15 16:38:06,700 - 16, 0.00006274, 1.3592
2025-10-15 16:40:05,751 - 17, 0.00006076, 1.2332
2025-10-15 16:42:06,550 - 18, 0.00005831, 1.1094
2025-10-15 16:44:05,643 - 19, 0.00005810, 1.0668
2025-10-15 16:46:06,838 - 20, 0.00005596, 1.0536
2025-10-15 16:48:08,429 - 21, 0.00005465, 1.0304
2025-10-15 16:50:10,944 - 22, 0.00005411, 1.0135
2025-10-15 16:52:12,171 - 23, 0.00005284, 0.9834
2025-10-15 16:54:13,718 - 24, 0.00005238, 0.9717
2025-10-15 16:56:15,247 - 25, 0.00005079, 0.9508
2025-10-15 16:58:16,229 - 26, 0.00005133, 0.9383
2025-10-15 17:00:16,975 - 27, 0.00004977, 0.9955
2025-10-15 17:02:19,086 - 28, 0.00004947, 0.9340
2025-10-15 17:04:19,460 - 29, 0.00004908, 0.9183
2025-10-15 17:06:20,632 - 30, 0.00004799, 0.8992
2025-10-15 17:08:21,545 - 31, 0.00004823, 0.9184
2025-10-15 17:10:24,127 - 32, 0.00004756, 0.9105
2025-10-15 17:12:24,443 - 33, 0.00004628, 0.8978
2025-10-15 17:14:25,914 - 34, 0.00004632, 0.8541
2025-10-15 17:16:26,639 - 35, 0.00004565, 0.8811
2025-10-15 17:18:28,381 - 36, 0.00004601, 0.8337
2025-10-15 17:20:27,563 - 37, 0.00004526, 0.8806
2025-10-15 17:22:26,746 - 38, 0.00004481, 0.8403
