2025-12-22 10:40:15,046 - =====================Start Training=====================
2025-12-22 10:40:15,046 - config: resshift_v1_10x_hyper1
2025-12-22 10:40:15,047 - description: t=3, sqrt_etas=[0.05, 0.6, 0.99], kappa=0.05
2025-12-22 10:40:15,047 - Epoch, Loss_train, Loss_val (K)
2025-12-22 10:44:35,160 - 1, 0.00043598, 1.9444
2025-12-22 10:48:18,977 - 2, 0.00013077, 1.5532
2025-12-22 10:52:04,032 - 3, 0.00010913, 1.4005
2025-12-22 10:55:40,557 - 4, 0.00009775, 1.4977
2025-12-22 10:59:20,000 - 5, 0.00008870, 1.3189
2025-12-22 11:03:01,120 - 6, 0.00008101, 1.2536
2025-12-22 11:06:42,071 - 7, 0.00007965, 1.2097
2025-12-22 11:10:17,742 - 8, 0.00007498, 1.1225
2025-12-22 11:13:55,456 - 9, 0.00007139, 1.2083
2025-12-22 11:17:36,692 - 10, 0.00006933, 1.0817
2025-12-22 11:21:21,029 - 11, 0.00006681, 1.0091
2025-12-22 11:25:03,039 - 12, 0.00006265, 0.9300
2025-12-22 11:28:44,433 - 13, 0.00006024, 0.9379
2025-12-22 11:32:34,244 - 14, 0.00005900, 0.9501
2025-12-22 11:36:20,206 - 15, 0.00005468, 0.9080
2025-12-22 11:40:04,812 - 16, 0.00005593, 0.9216
2025-12-22 11:43:50,442 - 17, 0.00005295, 0.8383
2025-12-22 11:47:36,076 - 18, 0.00005189, 0.7950
2025-12-22 11:51:20,833 - 19, 0.00005073, 0.8396
2025-12-22 11:55:05,308 - 20, 0.00004985, 0.8450
2025-12-22 11:58:45,459 - 21, 0.00004918, 0.7884
2025-12-22 12:02:24,190 - 22, 0.00004772, 0.7950
2025-12-22 12:06:06,897 - 23, 0.00004636, 0.7655
2025-12-22 12:09:52,120 - 24, 0.00004693, 0.7079
2025-12-22 12:13:36,146 - 25, 0.00004549, 0.7050
2025-12-22 12:17:20,518 - 26, 0.00004562, 0.6660
2025-12-22 12:21:04,307 - 27, 0.00004389, 0.6581
2025-12-22 12:24:47,754 - 28, 0.00004352, 0.6779
2025-12-22 12:28:32,148 - 29, 0.00004296, 0.6665
2025-12-22 12:32:15,662 - 30, 0.00004293, 0.6536
2025-12-22 12:36:00,771 - 31, 0.00004155, 0.6636
2025-12-22 12:39:43,786 - 32, 0.00004169, 0.6523
2025-12-22 12:43:28,498 - 33, 0.00004150, 0.7127
2025-12-22 12:47:11,925 - 34, 0.00004129, 0.6224
2025-12-22 12:50:54,886 - 35, 0.00004020, 0.6195
2025-12-22 12:54:40,855 - 36, 0.00003963, 0.6223
2025-12-22 12:58:23,876 - 37, 0.00004007, 0.6172
2025-12-22 13:02:08,993 - 38, 0.00003969, 0.6062
2025-12-22 13:05:54,687 - 39, 0.00003936, 0.6088
2025-12-22 13:09:33,290 - 40, 0.00003852, 0.6152
2025-12-22 13:13:15,689 - 41, 0.00003825, 0.5999
2025-12-22 13:16:58,961 - 42, 0.00003838, 0.5739
2025-12-22 13:20:44,150 - 43, 0.00003799, 0.5852
2025-12-22 13:24:27,558 - 44, 0.00003828, 0.6027
2025-12-22 13:28:12,003 - 45, 0.00003799, 0.5901
2025-12-22 13:31:55,266 - 46, 0.00003736, 0.5757
2025-12-22 13:35:38,085 - 47, 0.00003717, 0.5634
2025-12-22 13:39:21,812 - 48, 0.00003679, 0.5692
2025-12-22 13:43:05,504 - 49, 0.00003656, 0.5663
2025-12-22 13:46:50,326 - 50, 0.00003699, 0.6121
2025-12-22 13:50:32,945 - 51, 0.00003658, 0.5585
2025-12-22 13:54:18,013 - 52, 0.00003608, 0.5727
2025-12-22 13:58:01,192 - 53, 0.00003607, 0.5547
2025-12-22 14:01:45,118 - 54, 0.00003627, 0.5403
2025-12-22 14:05:30,292 - 55, 0.00003580, 0.5816
2025-12-22 14:09:14,494 - 56, 0.00003548, 0.6215
2025-12-22 14:12:57,684 - 57, 0.00003517, 0.5274
2025-12-22 14:16:41,345 - 58, 0.00003517, 0.5471
2025-12-22 14:20:25,332 - 59, 0.00003473, 0.5511
2025-12-22 14:24:09,016 - 60, 0.00003522, 0.5208
2025-12-22 14:27:52,536 - 61, 0.00003451, 0.5094
2025-12-22 14:31:37,993 - 62, 0.00003471, 0.5363
2025-12-22 14:35:20,779 - 63, 0.00003362, 0.5537
2025-12-22 14:39:05,251 - 64, 0.00003416, 0.5149
2025-12-22 14:42:48,923 - 65, 0.00003343, 0.4931
2025-12-22 14:46:32,589 - 66, 0.00003322, 0.5435
2025-12-22 14:50:12,437 - 67, 0.00003347, 0.4842
2025-12-22 14:53:51,060 - 68, 0.00003280, 0.5318
2025-12-22 14:57:29,692 - 69, 0.00003299, 0.5212
2025-12-22 15:01:13,181 - 70, 0.00003244, 0.4818
2025-12-22 15:04:50,772 - 71, 0.00003185, 0.4803
2025-12-22 15:08:26,346 - 72, 0.00003204, 0.5049
2025-12-22 15:12:03,248 - 73, 0.00003197, 0.4671
2025-12-22 15:15:43,869 - 74, 0.00003172, 0.4607
2025-12-22 15:19:28,621 - 75, 0.00003160, 0.4634
2025-12-22 15:23:11,537 - 76, 0.00003096, 0.4574
2025-12-22 15:26:56,902 - 77, 0.00003144, 0.4719
2025-12-22 15:30:40,264 - 78, 0.00003097, 0.4651
2025-12-22 15:34:23,462 - 79, 0.00003122, 0.4586
2025-12-22 15:38:07,248 - 80, 0.00003105, 0.4646
2025-12-22 15:41:50,595 - 81, 0.00003102, 0.4593
2025-12-22 15:45:35,977 - 82, 0.00003051, 0.4561
2025-12-22 15:49:20,082 - 83, 0.00003054, 0.4479
2025-12-22 15:53:04,803 - 84, 0.00003067, 0.4417
2025-12-22 15:56:48,646 - 85, 0.00003005, 0.4361
2025-12-22 16:00:32,251 - 86, 0.00003025, 0.4491
2025-12-22 16:04:16,427 - 87, 0.00003045, 0.4384
2025-12-22 16:07:59,980 - 88, 0.00003016, 0.4380
2025-12-22 16:11:44,912 - 89, 0.00003002, 0.4399
2025-12-22 16:15:28,018 - 90, 0.00002993, 0.4430
2025-12-22 16:19:12,697 - 91, 0.00003018, 0.4292
2025-12-22 16:22:56,127 - 92, 0.00002983, 0.4408
2025-12-22 16:26:39,472 - 93, 0.00003023, 0.4264
2025-12-22 16:30:25,164 - 94, 0.00002942, 0.4327
2025-12-22 16:34:08,166 - 95, 0.00002981, 0.4323
2025-12-22 16:37:53,071 - 96, 0.00003005, 0.4328
2025-12-22 16:41:36,370 - 97, 0.00002943, 0.4277
2025-12-22 16:45:19,235 - 98, 0.00002925, 0.4554
2025-12-22 16:49:02,941 - 99, 0.00002935, 0.4296
2025-12-22 16:52:46,182 - 100, 0.00002901, 0.4350
2025-12-22 16:56:31,255 - 101, 0.00002915, 0.4351
2025-12-22 17:00:14,445 - 102, 0.00002895, 0.4336
2025-12-22 17:03:59,707 - 103, 0.00002905, 0.4429
2025-12-22 17:07:43,147 - 104, 0.00002909, 0.4194
2025-12-22 17:11:26,460 - 105, 0.00002941, 0.4292
2025-12-22 17:15:11,529 - 106, 0.00002916, 0.4287
2025-12-22 17:18:55,021 - 107, 0.00002880, 0.4381
2025-12-22 17:22:40,040 - 108, 0.00002901, 0.4125
2025-12-22 17:26:23,342 - 109, 0.00002893, 0.4220
2025-12-22 17:30:07,365 - 110, 0.00002864, 0.4269
2025-12-22 17:33:50,943 - 111, 0.00002877, 0.4239
2025-12-22 17:37:33,989 - 112, 0.00002862, 0.4071
