2025-12-23 21:36:03,415 - =====================Start Training=====================
2025-12-23 21:36:03,415 - config: resshift_v1_10x_hyper3
2025-12-23 21:36:03,415 - description: t=15, k=1, p=0.3
2025-12-23 21:36:03,415 - Epoch, Loss_train, Loss_val (K)
2025-12-23 21:42:24,260 - 1, 0.00057060, 1.7389
2025-12-23 21:48:09,914 - 2, 0.00019285, 1.4064
2025-12-23 21:53:55,722 - 3, 0.00016643, 1.3171
2025-12-23 21:59:41,320 - 4, 0.00014861, 1.1819
2025-12-23 22:05:27,033 - 5, 0.00013016, 1.1135
2025-12-23 22:11:12,929 - 6, 0.00012054, 1.0982
2025-12-23 22:16:58,516 - 7, 0.00011418, 0.9954
2025-12-23 22:22:44,050 - 8, 0.00010730, 1.0408
2025-12-23 22:28:30,011 - 9, 0.00010231, 0.9119
2025-12-23 22:34:15,486 - 10, 0.00009815, 0.8621
2025-12-23 22:40:00,780 - 11, 0.00009447, 0.9057
2025-12-23 22:45:45,699 - 12, 0.00009070, 0.8486
2025-12-23 22:51:31,075 - 13, 0.00008817, 0.7992
2025-12-23 22:57:16,892 - 14, 0.00008393, 0.7850
2025-12-23 23:03:02,470 - 15, 0.00008204, 0.7348
2025-12-23 23:08:47,929 - 16, 0.00008021, 0.7765
2025-12-23 23:14:33,354 - 17, 0.00007809, 0.7627
2025-12-23 23:20:18,696 - 18, 0.00007678, 0.6884
2025-12-23 23:26:04,393 - 19, 0.00007503, 0.7105
2025-12-23 23:31:49,472 - 20, 0.00007355, 0.9011
2025-12-23 23:37:34,834 - 21, 0.00007273, 0.6780
2025-12-23 23:43:20,407 - 22, 0.00007100, 0.6707
2025-12-23 23:49:06,020 - 23, 0.00007044, 0.6719
2025-12-23 23:54:51,517 - 24, 0.00006907, 0.6280
2025-12-24 00:00:37,108 - 25, 0.00006802, 0.6355
2025-12-24 00:06:22,289 - 26, 0.00006761, 0.6364
2025-12-24 00:12:07,223 - 27, 0.00006626, 0.6464
2025-12-24 00:17:52,189 - 28, 0.00006621, 0.5921
2025-12-24 00:23:37,711 - 29, 0.00006515, 0.7519
2025-12-24 00:29:23,141 - 30, 0.00006473, 0.5889
2025-12-24 00:35:08,495 - 31, 0.00006369, 0.6163
2025-12-24 00:40:53,489 - 32, 0.00006320, 0.5720
2025-12-24 00:46:39,072 - 33, 0.00006280, 0.6128
2025-12-24 00:52:24,506 - 34, 0.00006214, 0.5974
2025-12-24 00:58:09,784 - 35, 0.00006176, 0.5595
2025-12-24 01:03:55,310 - 36, 0.00006153, 0.5857
2025-12-24 01:09:40,753 - 37, 0.00006063, 0.6180
2025-12-24 01:15:26,144 - 38, 0.00006017, 0.6291
2025-12-24 01:21:11,592 - 39, 0.00005963, 0.5467
2025-12-24 01:26:57,035 - 40, 0.00005910, 0.5502
2025-12-24 01:32:42,671 - 41, 0.00005812, 0.5365
2025-12-24 01:38:27,717 - 42, 0.00005750, 0.5892
2025-12-24 01:44:13,300 - 43, 0.00005744, 0.5106
2025-12-24 01:49:58,684 - 44, 0.00005623, 0.5418
2025-12-24 01:55:43,504 - 45, 0.00005589, 0.5111
2025-12-24 02:01:28,900 - 46, 0.00005538, 0.5167
2025-12-24 02:07:14,575 - 47, 0.00005493, 0.4954
2025-12-24 02:13:00,174 - 48, 0.00005442, 0.4904
2025-12-24 02:18:45,663 - 49, 0.00005368, 0.5152
2025-12-24 02:24:30,680 - 50, 0.00005336, 0.4930
2025-12-24 02:30:16,330 - 51, 0.00005305, 0.4781
2025-12-24 02:36:01,699 - 52, 0.00005254, 0.4726
2025-12-24 02:41:47,261 - 53, 0.00005232, 0.4889
2025-12-24 02:47:32,577 - 54, 0.00005184, 0.4633
2025-12-24 02:53:18,250 - 55, 0.00005152, 0.4804
2025-12-24 02:59:03,290 - 56, 0.00005112, 0.4646
2025-12-24 03:04:48,248 - 57, 0.00005075, 0.4757
2025-12-24 03:10:33,546 - 58, 0.00005054, 0.4796
2025-12-24 03:16:18,710 - 59, 0.00005034, 0.4595
2025-12-24 03:22:04,237 - 60, 0.00004990, 0.4926
2025-12-24 03:27:49,231 - 61, 0.00004986, 0.4516
2025-12-24 03:33:34,416 - 62, 0.00004945, 0.4663
2025-12-24 03:39:19,819 - 63, 0.00004890, 0.4461
2025-12-24 03:45:05,089 - 64, 0.00004882, 0.4894
2025-12-24 03:50:50,211 - 65, 0.00004868, 0.4361
2025-12-24 03:56:35,620 - 66, 0.00004852, 0.4445
2025-12-24 04:02:20,679 - 67, 0.00004821, 0.4331
2025-12-24 04:08:06,397 - 68, 0.00004803, 0.4383
2025-12-24 04:13:51,547 - 69, 0.00004783, 0.4300
2025-12-24 04:19:36,870 - 70, 0.00004761, 0.4363
2025-12-24 04:25:22,081 - 71, 0.00004754, 0.4263
2025-12-24 04:31:07,996 - 72, 0.00004729, 0.4369
2025-12-24 04:36:53,536 - 73, 0.00004705, 0.4231
2025-12-24 04:42:38,642 - 74, 0.00004698, 0.4365
2025-12-24 04:48:23,845 - 75, 0.00004676, 0.4234
2025-12-24 04:54:08,986 - 76, 0.00004677, 0.4244
2025-12-24 04:59:55,525 - 77, 0.00004651, 0.4159
2025-12-24 05:05:40,631 - 78, 0.00004633, 0.4325
2025-12-24 05:11:25,567 - 79, 0.00004615, 0.4156
2025-12-24 05:17:11,145 - 80, 0.00004611, 0.4456
2025-12-24 05:22:55,766 - 81, 0.00004586, 0.4120
2025-12-24 05:28:40,460 - 82, 0.00004545, 0.4258
2025-12-24 05:34:25,735 - 83, 0.00004558, 0.4133
2025-12-24 05:40:11,143 - 84, 0.00004548, 0.4077
2025-12-24 05:45:56,818 - 85, 0.00004551, 0.4042
2025-12-24 05:51:41,917 - 86, 0.00004547, 0.4197
2025-12-24 05:57:27,012 - 87, 0.00004515, 0.4000
2025-12-24 06:03:12,453 - 88, 0.00004477, 0.4188
2025-12-24 06:08:57,633 - 89, 0.00004505, 0.4298
2025-12-24 06:14:42,883 - 90, 0.00004487, 0.4067
2025-12-24 06:20:27,732 - 91, 0.00004471, 0.4135
2025-12-24 06:26:13,243 - 92, 0.00004474, 0.4134
2025-12-24 06:31:58,339 - 93, 0.00004459, 0.4102
2025-12-24 06:37:43,373 - 94, 0.00004452, 0.4142
2025-12-24 06:43:28,420 - 95, 0.00004428, 0.4003
2025-12-24 06:49:13,682 - 96, 0.00004404, 0.4122
2025-12-24 06:54:59,269 - 97, 0.00004404, 0.4102
