2025-12-24 14:54:10,494 - =====================Start Training=====================
2025-12-24 14:54:10,495 - config: resshift_v1_10x_hyper4
2025-12-24 14:54:10,495 - description: t=15, k=0.1, p=0.3
2025-12-24 14:54:10,495 - Epoch, Loss_train, Loss_val (K)
2025-12-24 15:00:30,289 - 1, 0.00054887, 2.5698
2025-12-24 15:06:16,124 - 2, 0.00015518, 1.8662
2025-12-24 15:12:01,924 - 3, 0.00012954, 1.5273
2025-12-24 15:17:47,234 - 4, 0.00011407, 1.6445
2025-12-24 15:23:32,827 - 5, 0.00010441, 1.5596
2025-12-24 15:29:18,428 - 6, 0.00009800, 1.6059
2025-12-24 15:35:03,543 - 7, 0.00009246, 2.4911
2025-12-24 15:40:48,958 - 8, 0.00008845, 1.3436
2025-12-24 15:46:34,817 - 9, 0.00008539, 1.6740
2025-12-24 15:52:20,205 - 10, 0.00008316, 1.1903
2025-12-24 15:58:05,745 - 11, 0.00007933, 1.2566
2025-12-24 16:03:50,827 - 12, 0.00007606, 1.1381
2025-12-24 16:09:36,520 - 13, 0.00007299, 1.1662
2025-12-24 16:15:22,045 - 14, 0.00006935, 1.0337
2025-12-24 16:21:08,065 - 15, 0.00006794, 0.9319
2025-12-24 16:26:53,828 - 16, 0.00006543, 1.0651
2025-12-24 16:32:39,152 - 17, 0.00006500, 1.0449
2025-12-24 16:38:24,706 - 18, 0.00006199, 0.8503
2025-12-24 16:44:10,341 - 19, 0.00006061, 0.8932
2025-12-24 16:49:55,336 - 20, 0.00005976, 1.1420
2025-12-24 16:55:40,434 - 21, 0.00005772, 0.8221
2025-12-24 17:01:26,084 - 22, 0.00005718, 0.8432
2025-12-24 17:07:11,377 - 23, 0.00005666, 0.8574
2025-12-24 17:12:56,098 - 24, 0.00005568, 0.8216
2025-12-24 17:18:42,004 - 25, 0.00005474, 0.8262
2025-12-24 17:24:27,459 - 26, 0.00005399, 0.8213
2025-12-24 17:30:12,825 - 27, 0.00005344, 0.8546
2025-12-24 17:35:58,169 - 28, 0.00005317, 0.7382
2025-12-24 17:41:43,746 - 29, 0.00005172, 1.4509
2025-12-24 17:47:29,289 - 30, 0.00005221, 0.8906
2025-12-24 17:53:14,256 - 31, 0.00005106, 0.7098
2025-12-24 17:59:00,140 - 32, 0.00005004, 0.9704
2025-12-24 18:04:45,274 - 33, 0.00005038, 0.9661
2025-12-24 18:10:30,884 - 34, 0.00004930, 0.7165
2025-12-24 18:16:16,963 - 35, 0.00004927, 0.7321
2025-12-24 18:22:02,187 - 36, 0.00004901, 0.7952
2025-12-24 18:27:47,244 - 37, 0.00004862, 0.7211
2025-12-24 18:33:32,517 - 38, 0.00004785, 1.7496
2025-12-24 18:39:17,940 - 39, 0.00004772, 0.7157
2025-12-24 18:45:03,314 - 40, 0.00004716, 0.8265
2025-12-24 18:50:48,201 - 41, 0.00004708, 0.7642
2025-12-24 18:56:33,593 - 42, 0.00004681, 0.6994
2025-12-24 19:02:19,118 - 43, 0.00004611, 0.6713
2025-12-24 19:08:04,167 - 44, 0.00004605, 0.7557
2025-12-24 19:13:49,455 - 45, 0.00004620, 0.8035
2025-12-24 19:19:34,408 - 46, 0.00004544, 0.6753
2025-12-24 19:25:19,342 - 47, 0.00004532, 0.6667
2025-12-24 19:31:04,794 - 48, 0.00004514, 0.6728
2025-12-24 19:36:49,950 - 49, 0.00004496, 0.6399
2025-12-24 19:42:35,910 - 50, 0.00004457, 0.7591
2025-12-24 19:48:20,585 - 51, 0.00004434, 0.7139
2025-12-24 19:54:05,351 - 52, 0.00004428, 0.6883
2025-12-24 19:59:50,221 - 53, 0.00004399, 0.7431
2025-12-24 20:05:35,411 - 54, 0.00004412, 0.7504
2025-12-24 20:11:20,785 - 55, 0.00004358, 0.7293
2025-12-24 20:17:05,777 - 56, 0.00004321, 0.6431
2025-12-24 20:22:51,135 - 57, 0.00004284, 0.6442
2025-12-24 20:28:36,320 - 58, 0.00004282, 0.8282
2025-12-24 20:34:21,352 - 59, 0.00004209, 0.6065
2025-12-24 20:40:06,986 - 60, 0.00004229, 0.6780
2025-12-24 20:45:52,511 - 61, 0.00004251, 0.6007
2025-12-24 20:51:37,947 - 62, 0.00004172, 0.5827
