2025-09-17 16:44:50,614 - =====================Start Training=====================
2025-09-17 16:44:50,614 - config: resshift_v1_20x
2025-09-17 16:44:50,614 - description: consine | time_step = 3 | 10x | use_gate = False | num_affine = 3
2025-09-17 16:44:50,614 - Epoch, Loss_train, RMSE_eval (K)
2025-09-17 16:49:16,617 - 1, 0.00047187, 1.6686
2025-09-17 16:52:57,679 - 2, 0.00014491, 1.5413
2025-09-17 16:56:40,347 - 3, 0.00011330, 1.4249
2025-09-17 17:00:22,254 - 4, 0.00010434, 1.4608
2025-09-17 17:04:09,876 - 5, 0.00009657, 1.3288
2025-09-17 17:07:53,931 - 6, 0.00008835, 1.3057
2025-09-17 17:11:37,757 - 7, 0.00008604, 1.2869
2025-09-17 17:15:21,785 - 8, 0.00007879, 1.2425
2025-09-17 17:19:07,610 - 9, 0.00007702, 1.2534
2025-09-17 17:22:51,366 - 10, 0.00007424, 1.2276
2025-09-17 17:26:35,975 - 11, 0.00007309, 1.1620
2025-09-17 17:30:19,906 - 12, 0.00006837, 1.2327
2025-09-17 17:34:03,545 - 13, 0.00006792, 1.1689
2025-09-17 17:37:49,137 - 14, 0.00006657, 1.1495
2025-09-17 17:41:32,597 - 15, 0.00006270, 1.1973
2025-09-17 17:45:18,741 - 16, 0.00006467, 1.2147
2025-09-17 17:49:02,376 - 17, 0.00006206, 1.1296
2025-09-17 17:52:46,240 - 18, 0.00006083, 1.1379
2025-09-17 17:56:30,361 - 19, 0.00005985, 1.1555
2025-09-17 18:00:14,013 - 20, 0.00005829, 1.1737
2025-09-17 18:03:59,536 - 21, 0.00005829, 1.0560
2025-09-17 18:07:43,923 - 22, 0.00005611, 1.0854
2025-09-17 18:11:29,181 - 23, 0.00005432, 1.0567
2025-09-17 18:15:13,481 - 24, 0.00005701, 1.0404
2025-09-17 18:18:57,695 - 25, 0.00005412, 1.0475
2025-09-17 18:22:43,168 - 26, 0.00005372, 1.0296
2025-09-17 18:26:27,812 - 27, 0.00005318, 1.0219
2025-09-17 18:30:13,201 - 28, 0.00005140, 1.0567
2025-09-17 18:33:56,999 - 29, 0.00005165, 1.0306
2025-09-17 18:37:41,787 - 30, 0.00005156, 1.0191
2025-09-17 18:41:27,636 - 31, 0.00004971, 1.0113
2025-09-17 18:45:11,429 - 32, 0.00005049, 1.0189
2025-09-17 18:48:57,079 - 33, 0.00005125, 1.0199
2025-09-17 18:52:41,019 - 34, 0.00005042, 0.9881
2025-09-17 18:56:25,401 - 35, 0.00004879, 1.0986
2025-09-17 19:00:08,790 - 36, 0.00004836, 0.9964
2025-09-17 19:03:52,514 - 37, 0.00004883, 1.0009
2025-09-17 19:07:37,788 - 38, 0.00004859, 0.9955
2025-09-17 19:11:21,411 - 39, 0.00004878, 0.9756
2025-09-17 19:15:06,218 - 40, 0.00004762, 0.9828
2025-09-17 19:18:50,048 - 41, 0.00004720, 0.9752
2025-09-17 19:22:34,155 - 42, 0.00004707, 0.9624
2025-09-17 19:26:20,440 - 43, 0.00004717, 0.9599
2025-09-17 19:30:04,639 - 44, 0.00004687, 0.9728
2025-09-17 19:33:49,760 - 45, 0.00004650, 1.0170
2025-09-17 19:37:33,515 - 46, 0.00004648, 0.9559
2025-09-17 19:41:18,619 - 47, 0.00004537, 0.9702
2025-09-17 19:45:02,284 - 48, 0.00004427, 0.9697
2025-09-17 19:48:45,963 - 49, 0.00004450, 0.9450
2025-09-17 19:52:32,022 - 50, 0.00004553, 0.9274
2025-09-17 19:56:16,242 - 51, 0.00004428, 0.9289
2025-09-17 20:00:01,891 - 52, 0.00004366, 0.9365
2025-09-17 20:03:45,909 - 53, 0.00004350, 0.9313
2025-09-17 20:07:29,646 - 54, 0.00004379, 0.9125
2025-09-17 20:11:14,551 - 55, 0.00004256, 0.9414
2025-09-17 20:14:58,954 - 56, 0.00004195, 0.9225
2025-09-17 20:18:44,840 - 57, 0.00004181, 0.9079
2025-09-17 20:22:29,128 - 58, 0.00004192, 0.9054
2025-09-17 20:26:13,995 - 59, 0.00004130, 0.9140
2025-09-17 20:29:58,357 - 60, 0.00004238, 0.8861
2025-09-17 20:33:42,263 - 61, 0.00004130, 0.8880
2025-09-17 20:37:27,882 - 62, 0.00004103, 0.8972
2025-09-17 20:41:12,054 - 63, 0.00004039, 0.8823
2025-09-17 20:44:57,136 - 64, 0.00004049, 0.8844
2025-09-17 20:48:40,765 - 65, 0.00004032, 0.8921
2025-09-17 20:52:24,419 - 66, 0.00003957, 0.9060
2025-09-17 20:56:09,506 - 67, 0.00004091, 0.8919
2025-09-17 20:59:53,743 - 68, 0.00003935, 0.8788
2025-09-17 21:03:39,108 - 69, 0.00003979, 0.9070
2025-09-17 21:07:22,984 - 70, 0.00003956, 0.8566
2025-09-17 21:11:07,216 - 71, 0.00003876, 0.8918
2025-09-17 21:14:51,533 - 72, 0.00003912, 0.8569
2025-09-17 21:18:35,195 - 73, 0.00003875, 0.8660
2025-09-17 21:22:20,740 - 74, 0.00003830, 0.8587
2025-09-17 21:26:04,319 - 75, 0.00003861, 0.8681
2025-09-17 21:29:49,635 - 76, 0.00003745, 0.8648
2025-09-17 21:33:33,882 - 77, 0.00003837, 0.8772
2025-09-17 21:37:17,141 - 78, 0.00003804, 0.8557
2025-09-17 21:41:02,608 - 79, 0.00003823, 0.8399
2025-09-17 21:44:46,789 - 80, 0.00003817, 0.8583
